value,deletef,delete1,keep,del2,hand,hand_type,hand_desc
1,4,188,4324,64860,AKQJT,SF,RoyalFlush
2,4,184,4140,60720,KQJT9,SF,King-HighStraightFlush
3,4,184,4140,60720,QJT98,SF,Queen-HighStraightFlush
4,4,184,4140,60720,JT987,SF,Jack-HighStraightFlush
5,4,184,4140,60720,T9876,SF,Ten-HighStraightFlush
6,4,184,4140,60720,98765,SF,Nine-HighStraightFlush
7,4,184,4140,60720,87654,SF,Eight-HighStraightFlush
8,4,184,4140,60720,76543,SF,Seven-HighStraightFlush
9,4,184,4140,60720,65432,SF,Six-HighStraightFlush
10,4,184,4140,60720,5432A,SF,Five-HighStraightFlush
11,4,182,4052,58825,AAAAK,4K,FourAces
12,4,166,3364,44361,AAAAQ,4K,FourAces
13,4,150,2740,32485,AAAAJ,4K,FourAces
14,4,134,2180,22945,AAAAT,4K,FourAces
15,4,118,1684,15485,AAAA9,4K,FourAces
16,4,102,1252,9849,AAAA8,4K,FourAces
17,4,86,884,5781,AAAA7,4K,FourAces
18,4,70,580,3025,AAAA6,4K,FourAces
19,4,54,340,1321,AAAA5,4K,FourAces
20,4,38,164,425,AAAA4,4K,FourAces
21,4,22,52,69,AAAA3,4K,FourAces
22,4,6,4,1,AAAA2,4K,FourAces
23,4,182,4052,58824,KKKKA,4K,FourKings
24,4,166,3364,44357,KKKKQ,4K,FourKings
25,4,150,2740,32485,KKKKJ,4K,FourKings
26,4,134,2180,22945,KKKKT,4K,FourKings
27,4,118,1684,15485,KKKK9,4K,FourKings
28,4,102,1252,9849,KKKK8,4K,FourKings
29,4,86,884,5781,KKKK7,4K,FourKings
30,4,70,580,3025,KKKK6,4K,FourKings
31,4,54,340,1325,KKKK5,4K,FourKings
32,4,38,164,425,KKKK4,4K,FourKings
33,4,22,52,69,KKKK3,4K,FourKings
34,4,6,4,1,KKKK2,4K,FourKings
35,4,182,4052,58824,QQQQA,4K,FourQueens
36,4,166,3364,44356,QQQQK,4K,FourQueens
37,4,150,2740,32481,QQQQJ,4K,FourQueens
38,4,134,2180,22945,QQQQT,4K,FourQueens
39,4,118,1684,15485,QQQQ9,4K,FourQueens
40,4,102,1252,9849,QQQQ8,4K,FourQueens
41,4,86,884,5781,QQQQ7,4K,FourQueens
42,4,70,580,3025,QQQQ6,4K,FourQueens
43,4,54,340,1325,QQQQ5,4K,FourQueens
44,4,38,164,425,QQQQ4,4K,FourQueens
45,4,22,52,69,QQQQ3,4K,FourQueens
46,4,6,4,1,QQQQ2,4K,FourQueens
47,4,182,4052,58824,JJJJA,4K,FourJacks
48,4,166,3364,44356,JJJJK,4K,FourJacks
49,4,150,2740,32480,JJJJQ,4K,FourJacks
50,4,134,2180,22941,JJJJT,4K,FourJacks
51,4,118,1684,15485,JJJJ9,4K,FourJacks
52,4,102,1252,9849,JJJJ8,4K,FourJacks
53,4,86,884,5781,JJJJ7,4K,FourJacks
54,4,70,580,3025,JJJJ6,4K,FourJacks
55,4,54,340,1325,JJJJ5,4K,FourJacks
56,4,38,164,425,JJJJ4,4K,FourJacks
57,4,22,52,69,JJJJ3,4K,FourJacks
58,4,6,4,1,JJJJ2,4K,FourJacks
59,4,182,4052,58824,TTTTA,4K,FourTens
60,4,166,3364,44356,TTTTK,4K,FourTens
61,4,150,2740,32480,TTTTQ,4K,FourTens
62,4,134,2180,22940,TTTTJ,4K,FourTens
63,4,118,1684,15481,TTTT9,4K,FourTens
64,4,102,1252,9849,TTTT8,4K,FourTens
65,4,86,884,5781,TTTT7,4K,FourTens
66,4,70,580,3025,TTTT6,4K,FourTens
67,4,54,340,1325,TTTT5,4K,FourTens
68,4,38,164,425,TTTT4,4K,FourTens
69,4,22,52,69,TTTT3,4K,FourTens
70,4,6,4,1,TTTT2,4K,FourTens
71,4,182,4052,58828,9999A,4K,FourNines
72,4,166,3364,44356,9999K,4K,FourNines
73,4,150,2740,32480,9999Q,4K,FourNines
74,4,134,2180,22940,9999J,4K,FourNines
75,4,118,1684,15480,9999T,4K,FourNines
76,4,102,1252,9845,99998,4K,FourNines
77,4,86,884,5781,99997,4K,FourNines
78,4,70,580,3025,99996,4K,FourNines
79,4,54,340,1325,99995,4K,FourNines
80,4,38,164,425,99994,4K,FourNines
81,4,22,52,69,99993,4K,FourNines
